Bezeichnung,Eindeutige Downloads,Eindeutige Besucher,Downloads,Von Besuchern verbrachte Gesamtzeit (in Sekunden),Metadaten: url,Metadaten: Actions_DownloadUrl,Metadaten: segment
www.wahlen.zh.ch/wahlen2019/public/data/krw/hochrechnung.json,75690,75673,313113,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/public/data/rrw/hochrechnung.json,74891,74874,246489,0,http://www.wahlen.zh.ch/wahlen2019/public/data/rrw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/public/data/rrw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Frrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/listen.json,50460,50451,154877,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/listen.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/listen.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Flisten.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidaten.json,46564,46556,179272,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidaten.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidaten.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fkandidaten.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/listengde.json,32528,32521,135564,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/listengde.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/listengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Flistengde.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidatengde.json,23184,23182,58102,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidatengde.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/kandidatengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fkandidatengde.json
www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_kanton_bezirke.json,20456,20452,60991,0,http://www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_kanton_bezirke.json,www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_kanton_bezirke.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Frrw%2Fkandidaten_kanton_bezirke.json
www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_gemeinden.json,15877,15873,66810,0,http://www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_gemeinden.json,www.wahlen.zh.ch/wahlen2019/public/data/rrw/kandidaten_gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Frrw%2Fkandidaten_gemeinden.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/wahlbeteiligung.json,12723,12721,20912,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/public/data/rrw/gemeinden.json,6513,6511,14807,0,http://www.wahlen.zh.ch/wahlen2019/public/data/rrw/gemeinden.json,www.wahlen.zh.ch/wahlen2019/public/data/rrw/gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Frrw%2Fgemeinden.json
www.wahlen.zh.ch/wahlen2019/public/data/rrw/wahlbeteiligung.json,5526,5524,8033,0,http://www.wahlen.zh.ch/wahlen2019/public/data/rrw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/public/data/rrw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Frrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/sitzverteilung.json,1234,1234,1824,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/sitzverteilung.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/sitzverteilung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fsitzverteilung.json
www.wahlen.zh.ch/wahlen2019/public/data/krw/gemeinden.json,69,69,81,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/gemeinden.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fgemeinden.json
www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_geschlechterverteilung.json,59,59,61,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_geschlechterverteilung.json,www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_geschlechterverteilung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fdaten%2Fvisualisierung_geschlechterverteilung.json
www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_parlament.json,40,40,40,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_parlament.json,www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_parlament.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fdaten%2Fvisualisierung_parlament.json
www.wahlen.zh.ch/wahlen2019/public/data/karten/Gemeinde.json,35,35,37,0,http://www.wahlen.zh.ch/wahlen2019/public/data/karten/Gemeinde.json,www.wahlen.zh.ch/wahlen2019/public/data/karten/Gemeinde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkarten%2FGemeinde.json
www.wahlen.zh.ch/robots.txt,27,27,27,0,http://www.wahlen.zh.ch/robots.txt,www.wahlen.zh.ch/robots.txt,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Frobots.txt
www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_altersverteilung.json,17,17,18,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_altersverteilung.json,www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_altersverteilung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fdaten%2Fvisualisierung_altersverteilung.json
www.wahlen.zh.ch/wahlen2019/public/data/karten/Wahlkreis.json,17,17,20,0,http://www.wahlen.zh.ch/wahlen2019/public/data/karten/Wahlkreis.json,www.wahlen.zh.ch/wahlen2019/public/data/karten/Wahlkreis.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkarten%2FWahlkreis.json
www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1917_1920_MODIFIED.geo.json,16,16,17,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1917_1920_MODIFIED.geo.json,www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1917_1920_MODIFIED.geo.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fgeojson%2Fkarte_1917_1920_MODIFIED.geo.json
www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_balken.json,14,14,14,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_balken.json,www.wahlen.zh.ch/krdaten_staatsarchiv/daten/visualisierung_balken.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fdaten%2Fvisualisierung_balken.json
www.wahlen.zh.ch/wahlen/kr2015/Hinweise.pdf,10,10,13,0,http://www.wahlen.zh.ch/wahlen/kr2015/Hinweise.pdf,www.wahlen.zh.ch/wahlen/kr2015/Hinweise.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen%2Fkr2015%2FHinweise.pdf
www.wahlen.zh.ch/wahlen2019/public/data/krw/zeitreihen.json,10,10,14,0,http://www.wahlen.zh.ch/wahlen2019/public/data/krw/zeitreihen.json,www.wahlen.zh.ch/wahlen2019/public/data/krw/zeitreihen.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fpublic%2Fdata%2Fkrw%2Fzeitreihen.json
www.wahlen.zh.ch/07/kr/kandidierende/pdf/wk 17.pdf,9,9,11,0,http://www.wahlen.zh.ch/07/kr/kandidierende/pdf/wk%2017.pdf,www.wahlen.zh.ch/07/kr/kandidierende/pdf/wk 17.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2F07%2Fkr%2Fkandidierende%2Fpdf%2Fwk+17.pdf
www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/gesamtergebnisse.pdf,9,9,13,0,http://www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/gesamtergebnisse.pdf,www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/gesamtergebnisse.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen%2Fkr11%2Famtliches%2Fpdf%2Fgesamtergebnisse.pdf
www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1971_2015_MODIFIED.geo.json,8,8,8,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1971_2015_MODIFIED.geo.json,www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1971_2015_MODIFIED.geo.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fgeojson%2Fkarte_1971_2015_MODIFIED.geo.json
www.wahlen.zh.ch/wahlen2019/intern/data/krw/hochrechnung.json,6,1,768,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/hochrechnung.json,6,1,686,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/hochrechnung.json,6,1,4732,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fhochrechnung.json
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung_VI_Steuerbonus.pdf,5,5,5,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorpr%C3%BCfung_VI_Steuerbonus.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung_VI_Steuerbonus.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FVorpr%C3%BCfung_VI_Steuerbonus.pdf
www.wahlen.zh.ch/wahlen2019/intern/data/krw/listen.json,5,1,525,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/listen.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/listen.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Flisten.json
www.wahlen.zh.ch/wahlen2019/intern/data/krw/wahlbeteiligung.json,5,1,41,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/listen.json,5,1,2589,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/listen.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/listen.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Flisten.json
www.wahlen.zh.ch/wahlen2019/medien/data/rrw/hochrechnung.json,5,1,5155,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/rrw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/medien/data/rrw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Frrw%2Fhochrechnung.json
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/unterschriftenbogen_steuerbonus.pdf,4,4,4,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/unterschriftenbogen_steuerbonus.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/unterschriftenbogen_steuerbonus.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2Funterschriftenbogen_steuerbonus.pdf
www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/ergebnisse.pdf,4,4,4,0,http://www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/ergebnisse.pdf,www.wahlen.zh.ch/wahlen/kr11/amtliches/pdf/ergebnisse.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen%2Fkr11%2Famtliches%2Fpdf%2Fergebnisse.pdf
www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidaten.json,4,1,301,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidaten.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidaten.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Fkandidaten.json
www.wahlen.zh.ch/wahlen2019/intern/data/krw/listengde.json,4,1,525,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/listengde.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/listengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Flistengde.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_gemeinden.json,4,1,638,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_gemeinden.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fkandidaten_gemeinden.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,4,1,537,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/kandidaten_kanton_bezirke.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fkandidaten_kanton_bezirke.json
www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,4,1,2478,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,www.wahlen.zh.ch/wahlen2019/medien/data/rrw/kandidaten_kanton_bezirke.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Frrw%2Fkandidaten_kanton_bezirke.json
www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,3,3,3,0,http://www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,www.wahlen.zh.ch/03/nr/NR_2003_Kandidierenden.xls,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2F03%2Fnr%2FNR_2003_Kandidierenden.xls
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundstückgewinnsteuer.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundst%C3%BCckgewinnsteuer.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/ABI_245_Grundstückgewinnsteuer.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FABI_245_Grundst%C3%BCckgewinnsteuer.pdf
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen Steuererhöhungen.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen%20Steuererh%C3%B6hungen.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Initiativbogen Steuererhöhungen.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FInitiativbogen+Steuererh%C3%B6hungen.pdf
www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung Medikamentenbezug.pdf,3,3,3,0,http://www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorpr%C3%BCfung%20Medikamentenbezug.pdf,www.wahlen.zh.ch/abstimmungen/initiativen/dokumente/Vorprüfung Medikamentenbezug.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fabstimmungen%2Finitiativen%2Fdokumente%2FVorpr%C3%BCfung+Medikamentenbezug.pdf
www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,3,3,3,0,http://www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,www.wahlen.zh.ch/krdaten_staatsarchiv/geojson/karte_1935_1967_MODIFIED.geo.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fkrdaten_staatsarchiv%2Fgeojson%2Fkarte_1935_1967_MODIFIED.geo.json
www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,3,3,4,0,http://www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,www.wahlen.zh.ch/wahlen/rr2015/Hinweise_RR.pdf,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen%2Frr2015%2FHinweise_RR.pdf
www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,3,3,12,0,http://www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/dev/data/krw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fdev%2Fdata%2Fkrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,3,3,9,0,http://www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,www.wahlen.zh.ch/wahlen2019/dev/data/rrw/hochrechnung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fdev%2Fdata%2Frrw%2Fhochrechnung.json
www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,3,1,31,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,www.wahlen.zh.ch/wahlen2019/intern/data/krw/kandidatengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Fkrw%2Fkandidatengde.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,3,1,191,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/gemeinden.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fgemeinden.json
www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,3,1,37,0,http://www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,www.wahlen.zh.ch/wahlen2019/intern/data/rrw/wahlbeteiligung.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fintern%2Fdata%2Frrw%2Fwahlbeteiligung.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,3,1,780,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidaten.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fkandidaten.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,3,1,79,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/kandidatengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Fkandidatengde.json
www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,3,1,2677,0,http://www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,www.wahlen.zh.ch/wahlen2019/medien/data/krw/listengde.json,downloadUrl==http%3A%2F%2Fwww.wahlen.zh.ch%2Fwahlen2019%2Fmedien%2Fdata%2Fkrw%2Flistengde.json
